row_index,slippage_pred,fee_pred,impact_pred,net_cost,prob_taker,latency_ms
22,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002632999894558452
23,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002491000032023294
24,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002666000000317581
25,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0027730002329917625
26,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00258999989455333
27,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002263000169477891
28,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026220000108878594
29,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002472999767633155
30,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002521000169508625
31,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002446000053168973
32,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002322000000276603
33,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002554999809945002
34,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0028670001483988017
35,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002577999566710787
36,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026050001906696707
37,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00263599986283225
38,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022970002646616194
39,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022220001483219676
40,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002193000000261236
41,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024139999368344434
42,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022500003069581
43,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002894999852287583
44,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002365000000281725
45,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026320003598812036
46,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023970001166162547
47,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023359998522209935
48,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023669999791309237
49,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022969998099142686
